condition,protocol,TP,FP,FN,precision,recall,F1,F1_iou_0p1,F1_10ms
qwen3.6 grid_v2 baseline,temporal_iou_0.3,134,113,64,0.5425101214574899,0.6767676767676768,0.6022471910112359,0.7011235955056179,0.3325842696629214
BatDetect2 proposal-only,temporal_iou_0.3,145,62,53,0.7004830917874396,0.7323232323232324,0.7160493827160495,0.8839506172839506,0.8839506172839506
qwen3.6 proposal-constrained VLM,temporal_iou_0.3,157,45,41,0.7772277227722773,0.7929292929292929,0.785,0.89,0.83
P14 conservative variant,temporal_iou_0.3,144,50,54,0.7422680412371134,0.7272727272727273,0.7346938775510204,0.9285714285714285,0.913265306122449
OpenRouter gpt-5.6-sol proposal-constrained VLM,temporal_iou_0.3,151,44,47,0.7743589743589744,0.7626262626262627,0.7684478371501272,0.9516539440203563,0.9567430025445293
